Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,1,0,1,0,1
0.000696730,0,1,1,1,0,1
0.000697680,0,1,0,1,0,1
0.005126850,0,1,0,1,1,1
0.005127890,0,1,0,1,0,1
0.006407120,0,1,1,1,0,1
0.006407380,0,1,0,1,0,1
0.006407480,0,1,1,1,0,1
0.006407980,0,1,0,1,0,1
0.006408310,0,1,1,1,0,1
0.006408600,0,1,0,1,0,1
0.006408700,0,1,1,1,0,1
0.006408780,0,1,0,1,0,1
0.006408860,0,1,1,1,0,1
0.006408950,0,1,0,1,0,1
0.006409090,0,1,1,1,0,1
0.006409220,0,1,0,1,0,1
0.006409270,0,1,1,1,0,1
0.006409370,0,1,0,1,0,1
0.006409440,0,1,1,1,0,1
0.006409590,0,1,0,1,0,1
0.006409690,0,1,1,1,0,1
0.006409780,0,1,0,1,0,1
0.006409850,0,1,1,1,0,1
0.006409940,0,1,0,1,0,1
0.006410020,0,1,1,1,0,1
0.006410110,0,1,0,1,0,1
0.006410250,0,1,1,1,0,1
0.006410300,0,1,1,0,0,1
0.006410420,0,1,0,0,0,1
0.006410500,0,1,1,0,0,1
0.006410600,0,1,0,0,0,1
0.006410740,0,1,1,0,0,1
0.006410910,0,1,0,0,0,1
0.006411070,0,1,1,0,0,1
0.006411170,0,1,0,0,0,1
0.006411250,0,1,1,0,0,1
0.006411400,0,1,0,0,0,1
0.006411500,0,1,1,0,0,1
0.006411580,0,1,0,0,0,1
0.006411670,0,1,1,0,0,1
0.006411750,0,1,0,0,0,1
0.006411910,0,1,1,0,0,1
0.006412000,0,1,0,0,0,1
0.006412080,0,1,1,0,0,1
0.006412240,0,1,0,0,0,1
0.006412340,0,1,1,0,0,1
0.006412410,0,1,0,0,0,1
0.006412580,0,1,1,0,0,1
0.006412740,0,1,0,0,0,1
0.006412910,0,1,1,0,0,1
0.006413070,0,1,0,0,0,1
0.006413250,0,1,1,0,0,1
0.006413410,0,1,0,0,0,1
0.006413510,0,1,1,0,0,1
0.006413580,0,1,0,0,0,1
0.006413740,0,1,1,0,0,1
0.006413840,0,1,0,0,0,1
0.006413920,0,1,1,0,0,1
0.006414070,0,1,0,0,0,1
0.006414180,0,1,1,0,0,1
0.006414250,0,1,0,0,0,1
0.006414390,0,1,1,0,0,1
0.006414510,0,1,0,0,0,1
0.006414590,0,1,1,0,0,1
0.006414740,0,1,0,0,0,1
0.006414900,0,1,1,0,0,1
0.006415030,0,1,0,0,0,1
0.006415110,0,1,1,0,0,1
0.006415250,0,1,0,0,0,1
0.006415350,0,1,1,0,0,1
0.006415450,0,1,0,0,0,1
0.006415530,0,1,1,0,0,1
0.006415610,0,1,0,0,0,1
0.006415780,0,1,1,0,0,1
0.006415950,0,1,0,0,0,1
0.006416130,0,1,1,0,0,1
0.006416430,0,1,0,0,0,1
0.006416660,0,1,1,0,0,1
0.006416940,0,1,0,0,0,1
0.006417180,0,1,1,0,0,1
0.006417320,0,1,1,1,0,1
0.006418140,0,1,0,1,0,1
0.006424010,0,1,0,1,1,1
0.006424210,0,1,0,1,0,1
0.006424290,0,1,0,1,1,1
0.006424470,0,1,0,1,0,1
0.006424800,0,1,0,1,1,1
0.006424960,0,1,0,1,0,1
0.006425130,0,1,0,1,1,1
0.006425290,0,1,0,1,0,1
0.006425380,0,1,0,1,1,1
0.006425450,0,1,0,1,0,1
0.006425590,0,1,0,1,1,1
0.006425630,0,1,1,1,1,1
0.006425710,0,1,1,1,0,1
0.006425780,0,1,1,1,1,1
0.006425920,0,1,1,1,0,1
0.006426020,0,1,1,1,1,1
0.006426110,0,1,1,1,0,1
0.006426190,0,1,1,1,1,1
0.006426280,0,1,1,1,0,1
0.006426350,0,1,1,1,1,1
0.006426440,0,1,1,1,0,1
0.006426520,0,1,1,1,1,1
0.006426580,0,1,0,1,1,1
0.006426610,0,1,0,1,0,1
0.006426750,0,1,0,1,1,1
0.006426860,0,1,0,1,1,0
0.006426910,0,1,0,1,0,0
0.006427000,0,1,0,1,1,0
0.006427090,0,1,0,1,0,0
0.006427170,0,1,0,1,1,0
0.006427260,0,1,0,1,0,0
0.006427340,0,1,0,1,1,0
0.006427420,0,1,0,1,0,0
0.006427500,0,1,0,1,1,0
0.006427580,0,1,0,1,0,0
0.006427730,0,1,0,1,1,0
0.006427830,0,1,0,1,0,0
0.006427910,0,1,0,1,1,0
0.006428000,0,1,0,1,0,0
0.006428080,0,1,0,1,1,0
0.006428240,0,1,0,1,0,0
0.006428340,0,1,0,1,1,0
0.006428410,0,1,0,1,0,0
0.006428570,0,1,0,1,1,0
0.006428740,0,1,0,1,0,0
0.006428910,0,1,0,1,1,0
0.006429000,0,1,0,1,0,0
0.006429080,0,1,0,1,1,0
0.006429160,0,1,0,1,0,0
0.006429250,0,1,0,1,1,0
0.006429330,0,1,0,1,0,0
0.006429420,0,1,0,1,1,0
0.006429570,0,1,0,1,0,0
0.006429750,0,1,0,1,1,0
0.006429900,0,1,0,1,0,0
0.006430000,0,1,0,1,1,0
0.006430080,0,1,0,1,0,0
0.006430240,0,1,0,1,1,0
0.006430400,0,1,0,1,0,0
0.006430500,0,1,0,1,1,0
0.006430580,0,1,0,1,0,0
0.006430670,0,1,0,1,1,0
0.006430750,0,1,0,1,0,0
0.006430900,0,1,0,1,1,0
0.006431070,0,1,0,1,0,0
